trial,lookahead,target_velocity_kph,gain_k,pid_kp,completed,driving_score,time_s,progress,penalty,max_cte,objective
68,6.000,48.21,1.518,0.417,0,100.0,180.00,0.851,0.0,3.28,-914902.1
69,6.000,48.21,1.482,0.417,1,95.0,105.15,1.000,5.0,3.24,1094894.9
70,6.000,48.21,1.500,0.421,1,100.0,105.15,1.000,0.0,3.24,1099894.9
71,6.000,48.21,1.500,0.413,1,100.0,105.15,1.000,0.0,3.27,1099894.9
72,6.020,48.21,1.500,0.417,1,100.0,105.15,1.000,0.0,3.25,1099894.9
73,5.980,48.21,1.500,0.417,1,100.0,105.15,1.000,0.0,3.26,1099894.9
74,6.000,48.32,1.500,0.417,1,100.0,104.95,1.000,0.0,3.24,1099895.1
75,6.000,48.32,1.509,0.417,1,100.0,104.95,1.000,0.0,3.24,1099895.1
76,6.000,48.32,1.491,0.417,1,95.0,104.90,1.000,5.0,3.24,1094895.1
77,6.000,48.32,1.500,0.419,1,100.0,104.95,1.000,0.0,3.23,1099895.1
78,6.000,48.32,1.500,0.415,1,100.0,104.95,1.000,0.0,3.24,1099895.1
79,6.020,48.32,1.500,0.417,1,100.0,104.95,1.000,0.0,3.24,1099895.1
80,5.980,48.32,1.500,0.417,1,100.0,104.95,1.000,0.0,3.24,1099895.1
81,6.000,48.42,1.500,0.417,1,95.0,104.70,1.000,5.0,3.22,1094895.3
82,6.000,48.21,1.500,0.417,1,100.0,105.15,1.000,0.0,3.26,1099894.9
83,6.000,48.32,1.509,0.417,1,100.0,104.95,1.000,0.0,3.24,1099895.1
84,6.000,48.32,1.491,0.417,1,95.0,104.90,1.000,5.0,3.24,1094895.1
85,6.000,48.32,1.500,0.419,1,100.0,104.95,1.000,0.0,3.23,1099895.1
86,6.000,48.32,1.500,0.415,1,100.0,104.95,1.000,0.0,3.24,1099895.1
87,6.010,48.32,1.500,0.417,1,100.0,104.95,1.000,0.0,3.24,1099895.1
88,5.990,48.32,1.500,0.417,1,100.0,104.95,1.000,0.0,3.24,1099895.1
89,6.000,48.37,1.500,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
90,6.000,48.37,1.505,0.417,1,100.0,104.80,1.000,0.0,3.22,1099895.2
91,6.000,48.37,1.495,0.417,1,95.0,120.20,1.000,5.0,3.20,1094879.8
92,6.000,48.37,1.500,0.418,1,100.0,104.80,1.000,0.0,3.21,1099895.2
93,6.000,48.37,1.500,0.416,1,100.0,104.80,1.000,0.0,3.22,1099895.2
94,6.010,48.37,1.500,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
95,5.990,48.37,1.500,0.417,1,100.0,104.80,1.000,0.0,3.22,1099895.2
96,6.000,48.42,1.500,0.417,1,95.0,104.70,1.000,5.0,3.22,1094895.3
97,6.000,48.32,1.500,0.417,1,100.0,104.95,1.000,0.0,3.24,1099895.1
98,6.000,48.37,1.505,0.417,1,100.0,104.80,1.000,0.0,3.22,1099895.2
99,6.000,48.37,1.495,0.417,1,95.0,120.20,1.000,5.0,3.20,1094879.8
100,6.000,48.37,1.500,0.418,1,100.0,104.80,1.000,0.0,3.21,1099895.2
101,6.000,48.37,1.500,0.416,1,100.0,104.80,1.000,0.0,3.22,1099895.2
102,6.005,48.37,1.500,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
103,5.995,48.37,1.500,0.417,1,100.0,104.80,1.000,0.0,3.22,1099895.2
104,6.000,48.40,1.500,0.417,0,100.0,180.00,0.851,0.0,3.33,-914902.2
105,6.000,48.34,1.500,0.417,1,95.0,104.90,1.000,5.0,3.19,1094895.1
106,6.000,48.37,1.502,0.417,1,100.0,120.20,1.000,0.0,3.21,1099879.8
107,6.000,48.37,1.498,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
108,6.000,48.37,1.500,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
109,6.000,48.37,1.500,0.416,1,100.0,104.80,1.000,0.0,3.22,1099895.2
110,6.002,48.37,1.500,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
111,5.998,48.37,1.500,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
112,6.000,48.38,1.500,0.417,1,95.0,104.80,1.000,5.0,3.15,1094895.2
113,6.000,48.36,1.500,0.417,1,100.0,104.80,1.000,0.0,3.27,1099895.2
114,6.000,48.37,1.501,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
115,6.000,48.37,1.499,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
116,6.000,48.37,1.500,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
117,6.000,48.37,1.500,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
118,6.001,48.37,1.500,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
119,5.999,48.37,1.500,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
120,6.000,48.38,1.500,0.417,1,100.0,120.20,1.000,0.0,3.18,1099879.8
121,6.000,48.36,1.500,0.417,1,100.0,104.80,1.000,0.0,3.24,1099895.2
122,6.000,48.37,1.501,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
123,6.000,48.37,1.499,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
124,6.000,48.37,1.500,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
125,6.000,48.37,1.500,0.417,1,100.0,104.80,1.000,0.0,3.21,1099895.2
