# x,y downsampled
-168.927,-39.829
-169.007,-43.328
-169.080,-46.827
-169.166,-50.326
-169.250,-53.825
-169.330,-57.324
-169.411,-60.823
-169.469,-64.323
-169.542,-67.822
-169.624,-71.321
-169.704,-74.820
-169.779,-78.319
-169.861,-81.818
-169.953,-85.317
-169.968,-88.817
-169.890,-92.315
-169.722,-95.811
-169.405,-99.297
-168.942,-102.765
-168.339,-106.213
-167.590,-109.631
-166.717,-113.020
-165.717,-116.374
-164.593,-119.688
-163.319,-122.948
-161.921,-126.156
-160.380,-129.298
-158.681,-132.357
-156.906,-135.374
-155.096,-138.370
-153.232,-141.331
-151.343,-144.278
-149.448,-147.221
-147.581,-150.181
-145.700,-153.133
-143.808,-156.077
-141.909,-159.017
-140.024,-161.966
-138.158,-164.928
-136.356,-167.927
-134.686,-171.003
-133.161,-174.153
-131.721,-177.343
-130.477,-180.613
-129.475,-183.967
-128.593,-187.354
-127.931,-190.790
-127.425,-194.253
-127.050,-197.732
-126.791,-201.223
-126.802,-204.719
-127.009,-208.213
-127.333,-211.698
-127.851,-215.159
-128.521,-218.593
-129.439,-221.970
-130.503,-225.304
-131.818,-228.546
-133.167,-231.776
-134.726,-234.907
-136.440,-237.958
-138.309,-240.917
-140.323,-243.780
-142.504,-246.516
-144.828,-249.132
-147.286,-251.623
-149.859,-253.995
-152.531,-256.255
-155.329,-258.357
-158.222,-260.327
-161.216,-262.138
-164.308,-263.778
-167.466,-265.286
-170.719,-266.577
-174.001,-267.793
-177.278,-269.022
-180.530,-270.314
-183.731,-271.729
-186.866,-273.284
-189.949,-274.942
-192.979,-276.693
-195.950,-278.543
-198.846,-280.508
-201.665,-282.582
-204.402,-284.763
-207.084,-287.012
-209.698,-289.339
-212.234,-291.751
-214.676,-294.257
-217.012,-296.863
-219.271,-299.537
-221.428,-302.292
-223.494,-305.117
-225.471,-308.005
-227.332,-310.969
-229.092,-313.994
-230.762,-317.070
-232.314,-320.207
-233.769,-323.390
-235.115,-326.620
-236.343,-329.897
-237.434,-333.223
-238.439,-336.575
-239.329,-339.960
-240.100,-343.373
-240.724,-346.817
-241.239,-350.279
-241.630,-353.757
-241.920,-357.244
-242.078,-360.741
-242.114,-364.240
-242.049,-367.739
-241.852,-371.234
-241.543,-374.720
-241.124,-378.194
-240.549,-381.646
-239.848,-385.075
-239.058,-388.485
-238.171,-391.871
-237.136,-395.214
-235.977,-398.516
-234.730,-401.786
-233.365,-405.009
-231.892,-408.184
-230.305,-411.303
-228.612,-414.366
-226.807,-417.364
-224.912,-420.306
-222.935,-423.194
-220.927,-426.062
-218.934,-428.938
-216.951,-431.823
-214.962,-434.703
-212.970,-437.580
-210.980,-440.460
-208.996,-443.343
-206.992,-446.213
-204.983,-449.078
-202.978,-451.947
-201.011,-454.842
-199.052,-457.742
-197.274,-460.755
-195.886,-463.964
-195.022,-467.352
-194.608,-470.488
-194.477,-473.982
-194.664,-477.474
-195.026,-480.475
-195.249,-483.964
-194.846,-487.437
-193.717,-490.740
-191.994,-493.775
-189.640,-496.356
-186.840,-498.447
-183.721,-500.024
-180.821,-500.887
-177.352,-501.315
-173.861,-501.138
-170.467,-500.298
-167.308,-498.806
-164.505,-496.722
-162.204,-494.096
-160.444,-491.078
-159.368,-487.756
-158.787,-484.480
-158.071,-481.055
-157.178,-477.672
-156.211,-474.570
-154.921,-471.317
-153.517,-468.112
-151.977,-464.969
-150.320,-461.886
-148.645,-458.813
-146.959,-455.746
-145.255,-452.689
-143.571,-449.620
-141.863,-446.566
-140.380,-443.932
-138.688,-440.868
-136.991,-437.807
-135.274,-434.758
-133.565,-431.703
-131.862,-428.645
-130.245,-425.702
-128.536,-422.648
-126.827,-419.593
-125.127,-416.534
-123.428,-413.474
-121.724,-410.416
-120.018,-407.360
-118.317,-404.301
-116.613,-401.245
-114.914,-398.185
-113.211,-395.127
-111.500,-392.074
-109.804,-389.012
-108.114,-385.947
-106.416,-382.886
-104.724,-379.822
-103.022,-376.765
-101.316,-373.708
-99.605,-370.655
-97.861,-367.621
-96.342,-364.885
-94.975,-361.668
-94.442,-358.221
-94.806,-354.749
-96.111,-351.512
-98.201,-348.722
-100.939,-346.563
-103.843,-344.944
-106.943,-343.321
-110.039,-341.689
-113.129,-340.046
-116.199,-338.365
-119.223,-336.603
-122.141,-334.672
-124.864,-332.478
-127.129,-329.821
-128.704,-326.715
-129.291,-323.276
-128.900,-319.809
-127.650,-316.548
-126.008,-313.458
-124.334,-310.384
-122.622,-307.331
-120.910,-304.278
-119.199,-301.225
-117.490,-298.171
